Economic  22% of electricity from renewable sources	Good	+	(Demirbas, 2009)	RES-E directive	Generation			
Agriculture	Absorption of NePeK	Neutral	++	(Casteli, 2011)	Perennial Crops	Grow			64
Socio	Accidents	Bad	-	(Evans, 2010)	Health and Safety Policy	Grow			
Socio	Accidents	Bad	+	(Evans, 2010)	Labour intensity	Grow			1
Chemical	Acidification and Eutrification	Bad	-	(Demirbas, 2009)	Inorganic Fertiliser	Grow			2
Chemical	Acidification and Eutrification	Bad	-	(Gilbert, 2011)	Treatment of Sewage Sludge	Grow			3
Chemical	Acidification of Ocean (lowering pH index)	Bad	+	(Gilbert, 2011)	CaCO3 in oceans	Environment			5
Chemical	Acidification of Ocean (lowering pH index)	Bad	+	(Gilbert, 2011)	GHG incl. CO2, SO2, NOX	Environment			4
Economic	Annual System-wide costs	Good	+	(Iakovou, 2010)	Collection or purchasing costs	Supply			
Economic	Annual System-wide costs	Good	+	(Iakovou, 2010)	Facility costs	Grow			
Economic	Annual System-wide costs	Good	+	(Iakovou, 2010)	Harvesting costs	Grow			
Economic	Annual System-wide costs	Good	+	(Iakovou, 2010)	Transportation costs	Supply			
Agriculture	Arable farm land	Good	-	(Howard, 2009)	Available Land for Biomass Crops	Grow			
Agriculture	Arable farm land	Good	-	(Atkinson, 2009)	Growth of Biomass	Grow			6
Chemical	Ash from Biomass Combustion	Bad	++	(Robbins, 2012)	Combustion of Biomass	Generation			7
Economic	Attractiveness of nuclear	Bad	+	(Evans, 2010)	EU-ETS	Generation			
Agriculture	Available Land for Biomass Crops	Neutral	-	(Sherrington, 2008)	Agricultural Lock-in	Grow			
Agriculture	Available Land for Biomass Crops	Neutral	-	(Sherrington, 2008)	Competing Land Use	Grow			
Agriculture	Available Land for Biomass Crops	Neutral	+	(Slade, 2009)	EU prescriptive Policy	Grow			
Agriculture	Available Land for Biomass Crops	Good		(Howard, 2009)	Land Policy	Grow			8
Agriculture	Available Land for Biomass Crops	Neutral	-	(Slade, 2009)	UK Gov Non-prescriptive Policy	Grow			
Economic	BESP	Neutral	+	(UU,2011)	Levelised Cost	Generation			78
Techno	Blockage, Corrosion	Bad	++	(Casteli, 2000)	Ash from Biomass Combustion	Generation			9
Techno	Blockage, Corrosion	Bad	-	(Evans, 2010)	Flue Gas and Particulate removal	Generation			
Chemical	Blockage, Corrosion	Bad	++	(Robbins, 2012)	Melting Point of Ash	Generation			10
Chemical	C4	Neutral	++	(Robbins, 2012)	O/C and H/C ratios	Grow			11
Economic	Capacities and allocations	Good	+	(Zhu, 2011)	Mixed Integer Linear Programming	Grow			
Agriculture	Carbon Sequestration	Good	++	(Demirbas, 2009)	Arable farm land	Grow			12
Agriculture	Carbon Sequestration	Good	++	(Robbins, 2012)	Growth of Biomass	Grow			13
Agriculture	CO2 capture from atmosphere	Good	++	(Abbasi and Abbasi, 2010)	Higher Growth of Biomass Crops	Grow			15
Economic	Co-generation	Neutral	+	(Evans, 2010)	EU-ETS	Generation			
Chemical	Cold Tolerance	Good	++	(Robbins, 2000)	C4	Grow			25
Economic	Collection or purchasing costs	Good	-	(Iakovou, 2010)	Design and Config logistics network	Supply			
Techno	Combustion of Biomass	Neutral	++	(Casteli, 2011)	Growth of Biomass	Generation			26
Chemical	Combustion of Fossil Fuel	Bad	-	(Robbins, 2012)	Combustion of Biomass	Generation			36
Economic	Constraints for aggregate planning	Good	+	(Iakovou, 2010)	Network Building	Supply			
Chemical	Corrosion	Good	-	(Howard, 2009)	GHG incl. CO2, SO2, NOX	Generation			70
Economic	Cost efficient technologies	Good	+	(OXERA, 2007)	ROC (2002-2009)	Generation			
Techno	Cost efficient technologies	Neutral	+	(Hellsmark, 2012)	Tradable Green Certificates	Generation			
Economic	Cost of Plant Propagule	Bad	+	(Streimikiene, 2010)	Economic Policy	Grow			27
Economic	Design and Config logistics network	Good	+	(Iakovou, 2010)	Constraints for aggregate planning	Supply			
Economic	Design and Config logistics network	Good	+	(Iakovou, 2010)	Long Term Supply and Demand Contracts	Supply			
Economic	Design and Config logistics network	Good	+	(Iakovou, 2010)	Network Building	Supply			
Economic	Design and Config logistics network	Good	+	(Iakovou, 2010)	Short Term Supply and Demand Contracts	Supply			
Techno	Disposal of Ash	Neutral	-	(Casteli, 2000)	Ash from Biomass Combustion	Waste			30
Economic	Economic Supply of Biomass	Good	++	(Robbins, 2012)	Growth of Biomass	Grow			31
Economic	Economies of scale	Good	++	(Gilbert, 2011)	Size of Plant	Generation			32
Techno	Efficiency over long distances	Good	-	(Gross, 2006)	AC current	Generation			
Techno	Efficiency over long distances	Good	+	(Gross, 2006)	DC current	Generation			
Techno	Electricity Grid	Good	++	(Gross, 2006)	Size of Plant	Generation			33
Socio	Employment	Good	++	(Evans, 2010)	Labour intensity	Grow			34
Economic	Energy efficiency R&D for large fossil-fuel	Good	+	(Evans, 2010)	EU-ETS	Generation			
Economic	Energy Ratio	Good	+	(Rowe, 2009)	High Calorific Value	Crop			35
Economic	Energy Ratio	Good	-	(Rowe, 2009)	Inorganic Fertiliser	Grow			37
Economic	Energy Ratio	Good	-	(Robbins, 2012)	Labour intensity	Grow			38
Economic	Energy Ratio	Good	-	(Rowe, 2009)	O/C and H/C ratios	Grow			35
Economic	Excessive competition to reduce risk	Bad	+	(Wood, 2011)	NFFO (1990-1998)	Generation			
Economic	Excessive competition to reduce risk	Bad	+	(Wood, 2011)	Reformed ROC	Generation			
